id	darija	loan_words_list
206	jbt had maTicha lli l9it f ssou9 had Sba7	
207	kidayr had llila?	
208	Lah is3d SSaba7 a chrif.	
209	yalah nn9zo on7taflo b rrbe7 dyalna	
210	ala b9ina 3aychin imkn nrj3o lddar bkri	
211	Safi 9ne3tini	
212	hezz l9er3a flidd lokhra	
213	nsa 3lik ddrari rah mcha 3lihoum l7al	
214	l7aja lwa7ida li kanTlb mnnek tdirha hia tchedd l9r3a t rrouj	rrouj
215	sir, ddi m3ak joj bra8ch, n99ez, ana ghanb9a 8na	
216	hadchi taykhle3	
217	kan7ess brasi biikhir	
218	chnahoa?	
219	wach kat7ess bih?	
220	3ad zid ana mt2ekked kaynin nas kaysta799o kter mnni annahom maymoutouch	
221	bllati n9lleb l parachute wach gadd i8ezz joj tnnas	parachute
222	w Sara7atan, wach katDenn ghay7ello lbiban t Tyyara wikhlliwna nne99zo?	
223	daba machi lwe9t dyal b7al had l as2ila	
224	ghannzlo f Pakistan	
225	walakin, bllati!	
226	wach imken i8ezz joj tnnas?	
227	wach mti99en?	
228	walakin malk katmechcha o labs l parachute?	parachute
229	3nne9ni mzyan o rah ghan8bTo bisalam mjmou3in	
230	kant 3ndna forSa kon T7na flb7er	
231	ahya ach hadchi	
232	3rfti chno, mn lblaSa mnach T7na, makaynch chi fr9 kbir	
233	makayn tta b7er t7t mnna, hir Pakistan	
234	ghan8Dro 3la lksida dyalna fl jara2id	lksida
235	yak?	
236	walakin 3rfti ma3ndach chi forSa, yak?	
237	ala njina ghadi ndir chikaya l charika t Tayaran	
238	ala kenna ghanmoutou	
239	walakin chchrab imken fikra mzyana	
240	ana b7al bzzaf tnnas, makan2amen b Lah illa khmsa tdd9ay9 9bl nni8aya	
241	wach nSelliw mjmou3in	
242	wach kat2amen b Lah	
243	3ell a9all ghatkon blkheff, bla Sda3, safi?	
244	ghan3awd nch3el tilifoni 3awtani	tilifoni
245	ghangollihom rah tan7bb8om	
246	olla tatgoul dakchi hir bach tD7ek 3lia?	
247	wach bSSe7 katfkker hakka?	
248	nari hadchi kaykhle3	
249	mabghitch khl3kom walakin tayballia 7na imkn ghadyin ll8awia	
250	ssmou7at tanbrzTk, walakin ana rah mkhlou3 bSS7	
251	matanfhem tta zfta f TTyyarat walakin kantkhl3 kolla mrra tanTir f ssma	
252	wayeeh, fchkel, tayban b7ala lmoTour khasr	lmoTour
253	tansm3 7tta chi mra katghowwet	
254	fchkeel, awlla?	
255	sm7 lia, wach katsm3 had SSda3?	
256	ana fr7an chwia bi annaho dyali lli jay machi dyalk	
257	7na f 2aman!	
258	hahoa jay iddina daba.	
259	oh, hadchi zine	
260	hahoa kaySoni....	
261	blmonasaba, ana ga3 makan3ref njbed l9iwa ssi7ria dyalha	
262	kan9tare7 naklo lfrmaj bl forchiTa	lfrmaj, forchiTa
263	n9dro hir ndowro l taxi?	taxi
264	3rft annakom kathdro 3la lframj	lframj
265	ma3ndi adna fikra 3la ach katgolo	
266	wa howa ga3 mamgadd.	
267	wa homa ga3 gueddo itniw lfrchiTa dyali	lfrchiTa
268	ach kay3ni dakchi?	
269	lil2asaf, dyali hi forchiTa 3adia.	forchiTa
270	wach imken tkon 3ndha chi 9iwa si7ria?	
271	kay3ni annaha tSn3at mzyan.	
272	SSber...	
273	oh, imken 3ndi lforchiTa zzayda	lforchiTa
274	bllati nDreb Tlila	
275	kat9Sed anna rri7a jayya mn lkado dyalk?	lkado
276	lla, mazal ma7llito	
277	kayTll3oha 3lina!	
278	bllati... ach hadchi lli 3Tawni?	
279	3lach kenna nyya whda?	
280	Laa!	
281	blkhariTa knna dghya ghal9aw asra3 Tri9 l a7san restora f ssikteur.	restora, ssikteur
282	7lliti dyalk mazal?	
283	wa o dok l kadowat lli 3Tawna?	kadowat
284	Hmm.	
285	o ana knt tanDenn annhom zwinin...	
286	kant hadik hia Tari9a lwahida bach nj3lohom irddo lina makltna	
287	jat mkllkha annak tkhser onta 3ndk karTa zwina!	karTa
288	chmn carte guichet 3lach bitina nkhdmo?	carte guichet
289	maglti 3ib.	
290	wach hia fras8a ghatchoufk?	
291	mazal machft l ostad tl fizik	fizik
292	ach ballik?	
293	ma3rftich wach l ostad tl fizik kayn 8na lyoum?	fizik
294	ach bghiti tdir lyouma ala knna bo7dna?	
295	ma3ndich wr9a 9dima tl mti7an	
296	wayeh, 3chrani mblokyin	mblokyin
297	kanDenn kolchi 3ndo machakil m3a transport	transport
298	gaddit ttamarin bla tta mochkil lbar7	
299	wach bdat l7iSSa?	
300	katsta799ha.	
301	kantmenna tjib chi no9Ta mberr3a	
302	kan 3ndk l7e99 fach khditi Tomobil	Tomobil
303	mohim, kikhdmti ttamarin lbar7 fllil?	
304	jit f Tomobil lyoma bach ntfada Tobisat.	Tomobil, Tobisat
305	zid 3liha annak knti m3TTel lbare7 tahoa.	
306	mcha 3lia Tobis	Tobis
307	t3TTelti lyom tani. chno l3odr dyalk lyom?	
308	wayeh, Thlla	
309	chokran a madame, wakha nsini wr9a tl7oDor hia lowla?	madame
310	wa hir sir o fkker fl awlawiat dyalk o ach bghiti t7e99e9	
311	sir tn3s bkri	
312	Oh, sm7 lia, drt m3ak lghalaT.	
313	3rfti chno, ollah asidi ila 3jbni dders tlyouma	
314	mohim, lmo3adalat malay9in lwalo.	
315	wach walidik kaychjj3ouk?	
316	3ndi mabadi2, gltha lik	
317	kifach kaybbalik imken n7ello hadchi?	
318	nta machi brhouch!!	
319	tgyyebt 3la bzaf tl7iSaS dyalk 7it jaw fo9itt l9ayloula	
320	wach katn3es m3TTel?	
321	kayna.	
322	m39oula.	
323	wakha hakkak kanfi9 m3TTel	
324	Oh, walakin rah tant3ellem bzzaf	
325	ma3ndi zher	
326	wach tayballik annaha mzyana lia?	
327	hadchi komik	komik
328	3ndi nfs lmabadi2 b7al l9ism kaml	
329	wayli?	
330	mohim ana tayballia lmabadi2 dyalk m3owwja	
331	hia hadik.	
332	ma8ia hadikch.	
333	walakin 3ndk zzher gddit nSawb ttamarin dyali lkhmis lli fat	
334	daba ndirha ssimana jjaya	ssimana
335	walakin makankhdmch mzyan flkher t simana	simana
336	khssek tb33ed 3lik Facebook o ga3 mawa9i3 tawaSol ljtima3i lkhrin	
337	ach ghayo93 flmti7an?	
338	twji8at makanoch waD7in.	
339	kayban b7alla kan 3ndk mochkil m3a l as2ila	
340	masa8lach, walakin laho3lem ila drtha	
341	ewa kijawk ttamarin tl maths?	maths
342	mohim, salina daba.	
343	ewa gles bzzerba o ghanchoufo lik ttamarin dyalk	
344	dfel dik lmska! rah 3rfti l9awanin tlmdrasa!	
345	mal9it tta wahd fTTri9	
346	ah, darouri.	
347	salam madame.	madame
348	wakha 3afak tlou7 dik lmska f zzbel	
349	a tl9na	
350	hir flmjerr lli 3la iddik limen, daba njib nnDader	
351	had lkhdma kolha 3la walo.	
352	hadchi mamzyanch.	
353	kan 3ndi 8adaf bsiT	
354	makayna tta m3na tb9a tnguer f ddar	
355	makanch momkin ntfadaw tt3Tal, idan hi tl9 lmousi9a	
356	o kan khssni nfsser lkmala t nnhar.	
357	kan kays7ablihoum ghanredd rassi ghany	
358	kayballia khssna ngaddo chi brrad t atay o nsa 3lia lkhdma	
359	nsa 3lia hadchi	
360	ljtima3 ttlgha	
361	wach kan dakchi khayb bSSe7?	
362	ewa?	
363	nnata2ij dyal l3am	
364	w knt ana hoa lli 9ddem	
365	ach momkin ddir?	
366	w kan had ljtima3 lmohimm	
367	t3TTlt 3la lkhdma bsbab l iDrabat.	
368	kolchi hoa hadak.	
369	wach bghiti thder lia 3lih	
370	wach machi 7ssen annana nfkkro fchi haja ijabia o katnchcheT	
371	dowezt wahd nhar mafih maytchaf.	
372	kifach?	
373	wach wakha tkhelli lkhdma flkhdma?	
374	anchofk mn b3d o gollia ach l9iti	
375	ghdi ntwaSl m3ahom daba.	
376	hania.	
377	tantmenna ngueddo nkhrjo dghya!	
378	o dikssa3 khdit ssansour bach n9essi	ssansour
379	skhon bzzaf...	
380	3ndi chwia tlma ala biti.	
381	l7al kayskhon 8naya o ghaliban ba9i khssna tsnnaw chi 15 d9i9a khra	
382	wach nta hania?	
383	kanDenn annho mbloki o ghaybdaw ijerroh llte7t mn daba chwia	mbloki
384	imken kansme3 chi 7edd kay3iyyeT mn lfou9	
385	ntmennaw hadchi ikhdm.	
386	hani kan7awel nsift message l dak lli khddam m3aya fl biro.	message, biro
387	walakin mamti99ench anna hadchi kafi	
388	nta moghnni, lla?	
389	maglti 3ib	
390	ach ballik ngolo ga3 ghdda nmchiw lchi tfjija	
391	mn b3d nmchiw naklo fchi blaSa flmdina	
392	ach ballik, mzyan?	
393	ayeh, mr7ba!	
394	makrehtch.	
395	mzyana.	
396	o 3ndek SSe7	
397	lyoma ghatwerrini kifach maddir tta haja mnghir annak tgles 7da la piscine nnhar kaml	la piscine
398	khddama!	
399	khllina galsin 8na 7da lapisin	lapisin
400	walakin rah n9ddo n3omo chwia	
401	nssa3a f chemch	
402	llkher ikhlleS	
403	had lprogram msllekni	lprogram
404	katmenna mankonch llekher	
405	m3a dik 100 drhem lli b9at lik fl compte bo7dha, tana hadchi lli tantmenna lik	compte
406	laa!	
407	hadi lmerra ttalta lli kaykhsr fiha ssansour had joj simanat llkhrin	ssansour, simanat
408	ana frasi glt lik thder m3a lwalida dyalk?	
409	drtha.	
410	flblaSa hdrt m3ahom fach gltiha lia	
411	makanoch mzyanin fhad tawakhir	
412	frasi kayn chi 7edd jdid 8na	
413	mohim ach kat9tar7 ndiro?	
414	hir nkhrjo mn ssansour, ghantwaSl m3ahom	ssansour
415	lfikra hia nchofo ach ddar, o nfhmo 3lach ssansour khsr mrra khra	ssansour
416	ala kan hoa lli Sifto bach iSawbo, i9der tkon chi haja sa8la	
417	hadchi mbrre3.	
418	akhir mrra 7awlt b tilifoni walakin makanch ssinyal o dak l boton dyal lalarm makhdmch	tilifoni, ssinyal, boton, lalarm
419	aji njerrbo l boutoun t lalarm.	boutoun, lalarm
420	imken ila tgadd.	
421	ok, rah wrrekt 3lih o makanch SSot. njerrebo lghwat?	
422	3ndi wahd SSot mjhhed.	
423	hadchi mohimm.	
424	awddi, mn wahd nna7ia, ah.	
425	walakin machi hadchi lli 9Sedt	
426	baraka mn lblabla.	
427	bditi katmrrDni daba.	
428	chfti wach tilifonk chedd rrizo?	tilifonk, rrizo
429	l9aDia bdat katskhon 8na.	
430	mahazzch m3aya tilifon.	tilifon
431	3ndi secretaire lli taddir hadchi.	secretaire
432	ewa rah ghykhssna ntsnnaw chi 7edd bach iSawbo	
433	mzyan 8na ntmtt3o bchmicha!	
434	mzyan trta7 chwia.	
435	wayeh, walakin ach ballik nmchiw ntmtt3o bchmicha fblaSa khra?	
436	wakha, walakin makrehtch nzid nrta7 wahd chwia.	
437	fin bghiti tmchi mn b3d?	
438	dok lli 9aT3in lghaba.	
439	sm3t annak t9dr tchof chi Twyyrat ghzalin ala kan 3ndk zzher	
440	3aDim!	
441	o kayballik n9dro ntsaT7o m3a chi 7ayawanat?	
442	kantmenna.	
443	kaynin ssbou3a o nnmoura fhad lblaSa	
444	kidazt ddwira lbar7?	
445	machft tta wahd fihoum.	
446	kantsnna hir imta n3ref ach mora had l7iT	
447	mangddch ntta8mek btta haja	
448	dayra b7al chi tilifon fl7iT	tilifon
449	ok, daba nchof wach hadchi bSSe7	
450	imken tchouf f tilifon dyalk.	tilifon
451	imkn ma3dnach nfs charika tl ittiSalat	
452	mohim, fi3lan, had lboutoun l7mr lkbir kayban zwin	lboutoun
453	mttaf9 annani khss nwrrek 3lih?	
454	katsowwel bzzaf tl as2ila.	
455	ghan3tabrha ah.	
456	kaySoni	
457	hadchi mbrre3.	
458	ana nba8rt	
459	ah, wgfat.	
460	chno lli w9ef?	
461	wach nta mt2ekked?	
462	kaySoni 7tta wgef, o matanDennch chi wahd ghayjawbna.	
463	wach kat3atbni ana 3la hadchi?	
464	7ll hada.	
465	ah, ghadi nbddel TTbib.	
466	tayban annaho wgfna.	
467	makankhllsekch bach tb9a hi wagf tmma.	
468	dir chi haja.	
469	3ndk Se77 myya flmyya	
470	kan7ess b7ala makayn 7tta sinyal 8na.	sinyal
471	ghadi n9der ndwwez chi mokalama.	
472	chokran 3la nnaSi7a dyalk.	
473	fach kanchouf f flfla khdra, katwlli flfla 7mra	
474	wakha tchr7 lia 3afak ach kat3ni b '3adi'?	
475	hadchi kaytllef.	
476	hir merra merra.	
477	mrra mrra.	
478	walakin had llwan kayb9aw wahd l3adad dyal sswaye3	
479	o hadchi mo7rij 7it ana lli mkllef bddo l7mr	
480	wach katDenn hadchi jay mn TTofoula dyali?	
481	chokran 7it rdditih bayn	
482	ch7al kan f3mrek fach bditi katchouf l7mer olkhDer mjmou3in?	
483	wach had lmochkil 9dim f3a2iltkom?	
484	knt kanchouf hadchi lmoddat khms snin	
485	mafrassi tta 7ala b7al hakka f3a2ilti	
486	ma3ada imken bbat jddi, walakin kan kaychrb bzzaf	
487	Lah ikhlf 3lik assi Bojm3a	
488	kayna chi haja khra bghiti tswwlni 3liha?	
489	fhmt	
490	wach hadchi khaTir a doctour?	
491	fach kanchouf lkhDr, kanchof l7mer tahoa	
492	daba gollia, 3lach jiti tchofni had l3chia?	
493	klat tlata t jjranat o joj brbbochat	
494	stmt3ti bihoum?	
495	lla, flghda.	
496	mn jihtek?	
497	mbrre3, lay7fdek	
498	Sba7 nnour ssi Hamid, ach kat3awd had SSba7?	
499	hadchi kaykhle3.	
500	fach ghankhrjo mn Tri9, ghanmchiw l sikteur dyal l7ayawanat	sikteur
501	3ad zid, m3a lghoroub, w9t mitali bach ntsaT7o m3a chi dib ola dobb!	
502	khassna nrj3o f7alna blm39oul	
503	7da lwad ghatkon l9adia aamina kter	
504	katmrreDni	
505	awlla?	
506	7sn lia manfkkerch fiha	
507	reddo lbal, rah kaynin jjdoura finmma mchiti	
508	3reft, mahzzitch a7san SbbaT lb7al had lblayS	
509	aha, kan7ess b7ala t9der tchouf lwad lte7t	
510	tSennet, katsm3 had Sda3?	
511	8na!	
512	labas 3lih, awla la?	
513	ah, imken nzlo mn had jiha	
514	ghaykhess tkhellina noslo lwad, o rah lwad dayz mn l vilaj	vilaj
515	mn jiha khra	
516	dak chklaT ghzal	
517	mcha l7al, chmch bdat tatghbr	
518	khssna nsrbiw!	
519	ana makan9chbl walo fhadchi tl ittija8at.	
520	ma3rftch ach kenna ghandiro bla lkhariTa	
521	ala knti ghadi lchi 7fla, makannS7ekch t Tyyeb	
522	katkhrj m3a l3chran bzzaf had tawakhir?	
523	la, matan7essch brasi jtima3i ola wat9 mn nfsi fost nnas	
524	imken ala mchit chi 3oTla mberr3a 3la berra, joww mzyan o chi ktab n9rah, ghanrje3 mnta3ch.	
525	ach ballik?	
526	katl3b rryaDa?	
527	ah, kanDenn glt lik annani kanl3b bzzaf kora	
528	ah, fhmt.	
529	kayballia anak t7eTT ssbbaT fl frran kaybyyen 3la macha3ir 9wiyya lli maymknch t3bber 3la rasha bTari9a khra	
530	modda hadi madrbna TTri9, kan7ess b7al ala toDDrna	
531	3ndk lkhariTa?	
532	la, s7abni kayna 3ndk	
533	bllati nchof fchkarti	
534	wakha	
535	fiyya jjou3 tana.	
536	ba9i 3ndk chi haja man9ssiw?	
537	ewa rah mal9itch lkhariTa	
538	bghiti chwia?	
539	ayeh lay7fdek.	
540	imken ila khassni hir chi 3oTla mzyana?	
541	Lay3awn assi Abderrahim	
542	sm7 lia docteur, kan khssni nchofk fhad lw9t l9Sir	
543	kayballia bdit kan7ma9!	
544	ach wa93?	
545	ewa, hdert m3a lwalida o lmra had ssba7, o mn b3d 7TTit SbbaTi 3la berra	
546	chno lli j3lek bghiti t7ett sbbaTk flfrran?	
547	wach hadok kano sbrdilat t sport?	sbrdilat, sport
548	kano sbrdilat t sport fach kano dakhlin llfrran walakin khrjo mnno b7al chi Trofa tlfakher.	sbrdilat, sport
549	olah ma3reft 3lach drtha.	
550	3ndi i7sas anna had l7bbat lli 3Titini wa3rin nit	
551	ch7al hadi daba bach bditi takhdhom?	
552	mttaf9.	
553	ghatkon chi ch8er hada daba	
554	knt mkta2b chwia, o 2ettro lia 3la ddakira btari9a khayba o rddoni fia nn3as	
555	awdi, momkin ntw993o aatar janibia 3la nn3as o ddakira fi3lan, walakin bach Tyyeb SbbaTha hadi haja khra	
556	7it bghiti nit t7reg sbrdiltek.	
557	3layach knti tathder nta o mamak?	
558	wa hoa rah S3ib thder m3a lwalida 7it 3ndha 96 3am o t9riban Smka	
559	hadchi kaytllef.	
560	kat3yyeT 3lia b smyt khouya, o khssni nghowwet onbda n3awd lhdra	
561	nchoufouk!	
562	achmen ryada tbghi tl3eb?	
563	bghit nl3eb kora	
564	wach knti katl3eb had ryada 9bel?	
565	l3bt chwia 9bel.	
566	t9der tnS7ni bchi doctour t rrijim laykhllik?	doctour, rrijim
567	ayeh, Tab3an.	
568	f jjiha lkhra mn chari3 kayn l biro dyal doctour Nabil, Tbib t rrijim momtaz	biro, doctour, rrijim
569	zid 3liha annaho sahbi bzzaf	
570	wach ana tanhder m3a ssi Khalid?	
571	La, batatan.	
572	walakin ghaliban tandiro lmoD7ika...	
573	walakin t9der tdirha lih, hoa rah mwellefha	
574	9chchabto was3a!	
575	hadchi kay9tel bdde7k	
576	nchcheTTini mzyan.	
577	had lstichara katsta7e99 kolla drhem tt3Ta fiha	
578	ana nachT.	
579	walakin, saraha, khessna nogfo 8na.	
580	imken khssek tchouf chi Tbib dyal rrijim bach i3awnek tneDDem makltek	rrijim
581	hadchi 3lach nnatija kbira...	
582	20 no9Ta	
583	bsse7...	
584	o hadchi i9dr ikon S3ib tredd lih lbal	
585	mohim, khllina n3Tiwha forSa b3da!	
586	sir nta lowwel!	
587	salam a lalla	
588	gles 8na	
589	chokran.	
590	ana 3ndi amal annak ghat3awenni	
591	kifach imken n3awnek?	
592	knt mf99ess had lyamat llekhra	
593	wach w93at lik chi haja fchkel mo2kharan?	
594	khaybat amal, fachal?	
595	olla makayn tta haja fchkel, hir routine lli m9ell9ek?	routine
596	lla, machi ga3 hakkak.	
597	hir mab9itch kanstmte3 bl7wayj lli kan 3ziz 3lia ndirhoum	
598	chno lli baghi tdir?	
599	makrehtch nl3eb sport walakin b7ala kan7ess ma3ndich TTa9a	sport
600	wach katakol mzyan?	
601	mo7alch.	
602	mwellef kankhTef chi l3ibat b7al chips ola bimowat lli kan3ref anahom mamzyaninch lia	chips
603	lmakla i9der tkon 3ndha atar kbir 3la kifach kat7ess, frask.	
604	ach khess ndir?	
605	khsshom ikono 9rab lb3Diyathom	
